transaction_id,user_id,date,category,amount,payment_method,merchant,description
txn_2594395,user_10,2023-11-25,Education,-451.57,Transfer,Netflix,Education payment at Netflix
txn_6107515,user_2,2024-12-03,Groceries,-150.82,Credit Card,Uber,Groceries payment at Uber
txn_8597656,user_14,2024-04-01,Dining,-421.6,Debit Card,Local Grocery,Dining payment at Local Grocery
txn_2147886,user_6,2023-09-23,Savings Transfer,-77.89,Cash,Amazon,Savings Transfer payment at Amazon
txn_5476827,user_4,2023-05-21,Savings Transfer,-92.87,Cash,Walmart,Savings Transfer payment at Walmart
txn_9258347,user_16,2024-08-24,Education,-330.05,Transfer,Landlord,Education payment at Landlord
txn_5588010,user_20,2023-01-17,Rent,-9.97,Cash,Netflix,Rent payment at Netflix
txn_3869058,user_9,2024-02-26,Utilities,-105.66,Debit Card,Local Grocery,Utilities payment at Local Grocery
txn_8521628,user_6,2024-07-10,Utilities,-360.03,Debit Card,School,Utilities payment at School
txn_9228768,user_9,2024-06-22,Savings Transfer,-429.7,Transfer,School,Savings Transfer payment at School
txn_3742503,user_2,2023-12-12,Education,-399.46,Credit Card,Uber,Education payment at Uber
txn_7056265,user_15,2023-03-26,Utilities,-101.44,Transfer,Local Grocery,Utilities payment at Local Grocery
txn_2703704,user_14,2024-11-07,Transport,-77.73,Credit Card,Hospital,Transport payment at Hospital
txn_6022195,user_20,2023-07-06,Salary,4940.46,Cash,Landlord,Salary payment at Landlord
txn_5605786,user_7,2024-01-21,Rent,-443.06,Credit Card,Local Grocery,Rent payment at Local Grocery
txn_5598358,user_13,2023-10-06,Savings Transfer,-16.25,Credit Card,Local Grocery,Savings Transfer payment at Local Grocery
txn_9215103,user_6,2023-03-22,Healthcare,-247.52,Transfer,Starbucks,Healthcare payment at Starbucks
txn_6229853,user_5,2023-01-09,Healthcare,-5.65,Cash,School,Healthcare payment at School
txn_8254947,user_2,2024-04-27,Transport,-166.71,Debit Card,Local Grocery,Transport payment at Local Grocery
txn_8924576,user_8,2024-04-16,Utilities,-35.26,Credit Card,School,Utilities payment at School
txn_8806339,user_2,2023-10-09,Transport,-15.37,Cash,Electric Company,Transport payment at Electric Company
txn_1760726,user_8,2024-06-19,Interest,4505.57,Debit Card,Hospital,Interest payment at Hospital
txn_2795326,user_19,2024-10-31,Healthcare,-265.65,Cash,Uber,Healthcare payment at Uber
txn_7861060,user_12,2023-09-08,Entertainment,-199.88,Transfer,School,Entertainment payment at School
txn_9312749,user_2,2024-01-18,Education,-175.53,Debit Card,Local Grocery,Education payment at Local Grocery
txn_9871224,user_11,2024-09-25,Savings Transfer,-150.67,Debit Card,School,Savings Transfer payment at School
txn_3688108,user_19,2023-05-27,Rent,-273.05,Credit Card,Walmart,Rent payment at Walmart
txn_2377412,user_17,2023-04-16,Groceries,-28.4,Cash,Electric Company,Groceries payment at Electric Company
txn_7918784,user_11,2024-07-02,Transport,-179.84,Credit Card,Local Grocery,Transport payment at Local Grocery
txn_9205434,user_12,2023-10-30,Rent,-33.6,Credit Card,Electric Company,Rent payment at Electric Company
txn_2428135,user_20,2024-01-28,Bonus,4763.88,Credit Card,Landlord,Bonus payment at Landlord
txn_8566161,user_12,2024-05-18,Utilities,-376.86,Transfer,Starbucks,Utilities payment at Starbucks
txn_1373948,user_17,2023-02-12,Healthcare,-151.21,Credit Card,Walmart,Healthcare payment at Walmart
txn_5733501,user_5,2023-10-30,Entertainment,-435.72,Transfer,Netflix,Entertainment payment at Netflix
txn_7320583,user_19,2023-04-05,Transport,-48.67,Cash,Amazon,Transport payment at Amazon
txn_3904000,user_14,2023-01-17,Groceries,-221.05,Credit Card,Local Grocery,Groceries payment at Local Grocery
txn_5060476,user_17,2024-06-26,Interest,2387.04,Debit Card,Starbucks,Interest payment at Starbucks
txn_1778388,user_7,2024-10-24,Savings Transfer,-122.28,Cash,Starbucks,Savings Transfer payment at Starbucks
txn_5220660,user_11,2023-02-10,Interest,4963.15,Credit Card,Uber,Interest payment at Uber
txn_5509856,user_2,2023-11-13,Dining,-74.87,Transfer,Walmart,Dining payment at Walmart
txn_3524235,user_7,2023-03-04,Entertainment,-210.32,Transfer,Netflix,Entertainment payment at Netflix
txn_5781412,user_16,2024-06-04,Dining,-417.12,Debit Card,Uber,Dining payment at Uber
txn_1351985,user_1,2024-03-05,Entertainment,-25.47,Cash,Amazon,Entertainment payment at Amazon
txn_4392098,user_4,2024-07-23,Dining,-230.49,Debit Card,Starbucks,Dining payment at Starbucks
txn_4555596,user_20,2023-01-01,Utilities,-323.12,Cash,Hospital,Utilities payment at Hospital
txn_9195146,user_10,2023-12-23,Education,-183.24,Credit Card,Starbucks,Education payment at Starbucks
txn_4694358,user_5,2023-08-13,Bonus,3854.17,Credit Card,Starbucks,Bonus payment at Starbucks
txn_2254971,user_7,2024-04-03,Utilities,-220.42,Cash,Starbucks,Utilities payment at Starbucks
txn_3981755,user_5,2023-10-07,Salary,4666.26,Credit Card,School,Salary payment at School
txn_2357675,user_19,2024-08-21,Utilities,-355.07,Cash,Amazon,Utilities payment at Amazon
txn_2014436,user_4,2024-05-31,Groceries,-334.07,Cash,Uber,Groceries payment at Uber
txn_5645187,user_18,2024-10-15,Groceries,-444.62,Credit Card,Electric Company,Groceries payment at Electric Company
txn_3302368,user_5,2024-08-24,Groceries,-485.74,Transfer,Amazon,Groceries payment at Amazon
txn_7417471,user_13,2024-07-23,Education,-155.22,Debit Card,Electric Company,Education payment at Electric Company
txn_7093560,user_9,2024-05-01,Utilities,-369.08,Debit Card,Amazon,Utilities payment at Amazon
txn_6568852,user_18,2023-03-01,Utilities,-96.53,Transfer,Electric Company,Utilities payment at Electric Company
txn_7904276,user_3,2023-05-20,Interest,4471.07,Debit Card,School,Interest payment at School
txn_9101264,user_9,2023-07-04,Transport,-88.32,Transfer,Amazon,Transport payment at Amazon
txn_3720414,user_8,2024-07-23,Entertainment,-110.39,Cash,Walmart,Entertainment payment at Walmart
txn_4483860,user_4,2024-09-21,Dining,-487.23,Credit Card,Netflix,Dining payment at Netflix
txn_5586899,user_15,2023-12-20,Education,-49.8,Cash,Local Grocery,Education payment at Local Grocery
txn_1974870,user_20,2023-01-16,Savings Transfer,-245.57,Credit Card,Landlord,Savings Transfer payment at Landlord
txn_1652660,user_7,2024-11-10,Healthcare,-247.91,Cash,Walmart,Healthcare payment at Walmart
txn_6844959,user_14,2023-01-09,Education,-9.06,Transfer,Amazon,Education payment at Amazon
txn_6415254,user_9,2024-10-03,Interest,1608.78,Transfer,Uber,Interest payment at Uber
txn_2099480,user_14,2023-02-03,Rent,-178.85,Cash,Uber,Rent payment at Uber
txn_1577574,user_20,2024-12-03,Transport,-87.64,Cash,Starbucks,Transport payment at Starbucks
txn_7729178,user_3,2024-03-27,Dining,-341.8,Debit Card,Walmart,Dining payment at Walmart
txn_9858706,user_4,2023-08-09,Utilities,-345.33,Transfer,Amazon,Utilities payment at Amazon
txn_6573264,user_1,2023-04-28,Dining,-11.88,Debit Card,Walmart,Dining payment at Walmart
txn_3236218,user_17,2023-04-20,Transport,-137.36,Debit Card,Hospital,Transport payment at Hospital
txn_8542776,user_9,2023-10-05,Transport,-111.19,Transfer,Landlord,Transport payment at Landlord
txn_4002825,user_14,2024-12-13,Dining,-215.12,Credit Card,Landlord,Dining payment at Landlord
txn_7353786,user_17,2023-10-30,Education,-99.41,Debit Card,Hospital,Education payment at Hospital
txn_2273869,user_18,2024-09-19,Savings Transfer,-150.8,Debit Card,School,Savings Transfer payment at School
txn_4941513,user_1,2023-02-09,Interest,1646.35,Credit Card,Electric Company,Interest payment at Electric Company
txn_2157135,user_18,2023-11-15,Healthcare,-192.18,Cash,Local Grocery,Healthcare payment at Local Grocery
txn_2518233,user_1,2024-10-08,Savings Transfer,-312.42,Cash,School,Savings Transfer payment at School
txn_4198380,user_6,2024-02-27,Interest,1063.77,Transfer,Starbucks,Interest payment at Starbucks
txn_5074097,user_19,2023-04-15,Dining,-163.89,Debit Card,Uber,Dining payment at Uber
txn_9375232,user_9,2024-10-17,Savings Transfer,-112.34,Credit Card,Amazon,Savings Transfer payment at Amazon
txn_8461420,user_10,2023-05-30,Rent,-51.37,Cash,Amazon,Rent payment at Amazon
txn_2437584,user_1,2023-12-15,Dining,-360.25,Transfer,Electric Company,Dining payment at Electric Company
txn_5485421,user_10,2023-06-13,Entertainment,-277.73,Credit Card,Walmart,Entertainment payment at Walmart
txn_9612313,user_10,2023-03-16,Utilities,-117.37,Transfer,Walmart,Utilities payment at Walmart
txn_1702815,user_15,2023-01-05,Transport,-140.44,Debit Card,Local Grocery,Transport payment at Local Grocery
txn_5600841,user_9,2023-03-12,Dining,-158.23,Debit Card,School,Dining payment at School
txn_7421770,user_19,2024-02-21,Interest,1833.56,Transfer,Landlord,Interest payment at Landlord
txn_7029078,user_19,2024-10-01,Groceries,-446.81,Credit Card,Amazon,Groceries payment at Amazon
txn_2313951,user_8,2023-08-02,Salary,2029.63,Debit Card,Walmart,Salary payment at Walmart
txn_4141645,user_16,2024-12-12,Healthcare,-162.83,Debit Card,Amazon,Healthcare payment at Amazon
txn_7225351,user_2,2023-02-26,Interest,3369.25,Transfer,Uber,Interest payment at Uber
txn_7533378,user_19,2024-09-22,Salary,3817.31,Cash,Walmart,Salary payment at Walmart
txn_9174186,user_13,2024-10-26,Groceries,-299.99,Transfer,Electric Company,Groceries payment at Electric Company
txn_2640668,user_8,2024-09-17,Entertainment,-445.71,Debit Card,Local Grocery,Entertainment payment at Local Grocery
txn_3036768,user_3,2024-11-25,Entertainment,-153.87,Credit Card,Starbucks,Entertainment payment at Starbucks
txn_2164517,user_1,2023-06-18,Education,-377.01,Cash,Local Grocery,Education payment at Local Grocery
txn_4293669,user_19,2024-02-05,Rent,-68.09,Credit Card,Hospital,Rent payment at Hospital
txn_3399096,user_17,2024-02-22,Healthcare,-350.91,Cash,Uber,Healthcare payment at Uber
txn_9347124,user_12,2024-05-30,Healthcare,-348.21,Credit Card,Starbucks,Healthcare payment at Starbucks
txn_9718057,user_1,2024-10-31,Education,-416.18,Transfer,Local Grocery,Education payment at Local Grocery
txn_8203167,user_10,2023-08-09,Entertainment,-208.71,Cash,Local Grocery,Entertainment payment at Local Grocery
txn_3018562,user_17,2024-07-21,Bonus,1568.75,Debit Card,Hospital,Bonus payment at Hospital
txn_1287652,user_3,2024-10-21,Healthcare,-110.07,Credit Card,Netflix,Healthcare payment at Netflix
txn_6857374,user_20,2023-01-09,Utilities,-43.3,Cash,Electric Company,Utilities payment at Electric Company
txn_8476753,user_6,2024-05-24,Education,-393.54,Credit Card,Walmart,Education payment at Walmart
txn_7873831,user_13,2024-01-17,Dining,-459.21,Cash,Hospital,Dining payment at Hospital
txn_6219319,user_9,2024-01-17,Interest,2956.38,Credit Card,Electric Company,Interest payment at Electric Company
txn_5362850,user_18,2024-05-08,Utilities,-280.76,Debit Card,Uber,Utilities payment at Uber
txn_3508620,user_14,2024-06-15,Utilities,-224.22,Transfer,Electric Company,Utilities payment at Electric Company
txn_3715141,user_10,2024-11-30,Rent,-232.75,Cash,Landlord,Rent payment at Landlord
txn_7165248,user_2,2023-02-07,Transport,-360.07,Transfer,Uber,Transport payment at Uber
txn_6714828,user_18,2023-04-14,Healthcare,-498.82,Credit Card,Netflix,Healthcare payment at Netflix
txn_5043298,user_1,2023-09-22,Dining,-474.11,Cash,School,Dining payment at School
txn_5780751,user_1,2023-07-15,Utilities,-227.52,Cash,Local Grocery,Utilities payment at Local Grocery
txn_2257987,user_2,2023-12-20,Savings Transfer,-425.91,Cash,Hospital,Savings Transfer payment at Hospital
txn_5453938,user_7,2024-12-31,Entertainment,-404.51,Cash,Local Grocery,Entertainment payment at Local Grocery
txn_5542065,user_8,2024-12-30,Utilities,-290.86,Cash,Local Grocery,Utilities payment at Local Grocery
txn_2133917,user_20,2023-02-06,Entertainment,-464.16,Transfer,Starbucks,Entertainment payment at Starbucks
txn_2984010,user_11,2024-10-08,Interest,3572.72,Cash,Starbucks,Interest payment at Starbucks
txn_5947982,user_20,2023-04-04,Entertainment,-23.39,Cash,Walmart,Entertainment payment at Walmart
txn_8053666,user_11,2023-05-26,Savings Transfer,-121.4,Cash,Electric Company,Savings Transfer payment at Electric Company
txn_4552896,user_8,2023-10-20,Transport,-356.72,Transfer,Amazon,Transport payment at Amazon
txn_8537473,user_8,2024-01-27,Savings Transfer,-355.63,Debit Card,School,Savings Transfer payment at School
txn_5433956,user_12,2023-01-17,Transport,-260.39,Transfer,Uber,Transport payment at Uber
txn_5026183,user_11,2024-04-07,Entertainment,-65.77,Debit Card,Electric Company,Entertainment payment at Electric Company
txn_4225714,user_8,2024-09-04,Healthcare,-108.08,Transfer,Local Grocery,Healthcare payment at Local Grocery
txn_2210909,user_8,2023-11-01,Bonus,3473.39,Credit Card,Netflix,Bonus payment at Netflix
txn_3461148,user_2,2023-05-31,Salary,4262.2,Transfer,Electric Company,Salary payment at Electric Company
txn_4232734,user_18,2024-01-21,Groceries,-486.24,Cash,School,Groceries payment at School
txn_5277017,user_15,2023-06-04,Transport,-148.41,Transfer,Hospital,Transport payment at Hospital
txn_5910929,user_4,2024-10-22,Healthcare,-194.35,Transfer,Netflix,Healthcare payment at Netflix
txn_6565663,user_10,2023-02-03,Salary,2839.16,Credit Card,Amazon,Salary payment at Amazon
txn_6707271,user_4,2024-11-09,Utilities,-281.22,Debit Card,Netflix,Utilities payment at Netflix
txn_5544680,user_9,2024-12-27,Savings Transfer,-18.06,Cash,Landlord,Savings Transfer payment at Landlord
txn_7879208,user_12,2024-03-03,Healthcare,-429.45,Transfer,Hospital,Healthcare payment at Hospital
txn_3618990,user_10,2024-09-18,Utilities,-213.26,Cash,Electric Company,Utilities payment at Electric Company
txn_9361498,user_13,2024-03-21,Transport,-238.36,Cash,Uber,Transport payment at Uber
txn_4168317,user_17,2023-10-18,Utilities,-60.33,Transfer,Amazon,Utilities payment at Amazon
txn_2611046,user_3,2023-11-03,Groceries,-180.7,Cash,Landlord,Groceries payment at Landlord
txn_3869937,user_8,2023-12-29,Interest,4883.98,Transfer,Netflix,Interest payment at Netflix
txn_9493566,user_7,2023-02-13,Transport,-178.35,Credit Card,School,Transport payment at School
txn_8769794,user_17,2023-05-07,Education,-303.85,Cash,Uber,Education payment at Uber
txn_7002579,user_7,2023-11-04,Utilities,-231.83,Transfer,Uber,Utilities payment at Uber
txn_1281764,user_15,2024-09-11,Salary,1429.7,Transfer,Electric Company,Salary payment at Electric Company
txn_7248247,user_11,2023-02-02,Healthcare,-83.43,Cash,School,Healthcare payment at School
txn_9507301,user_8,2024-10-18,Dining,-282.74,Transfer,Walmart,Dining payment at Walmart
txn_3265678,user_2,2024-10-29,Bonus,4425.94,Credit Card,Electric Company,Bonus payment at Electric Company
txn_4891370,user_3,2023-07-24,Savings Transfer,-313.08,Credit Card,Landlord,Savings Transfer payment at Landlord
txn_6410769,user_6,2023-04-11,Healthcare,-124.79,Cash,Netflix,Healthcare payment at Netflix
txn_8138862,user_4,2023-10-26,Groceries,-66.46,Debit Card,Electric Company,Groceries payment at Electric Company
txn_9271978,user_2,2023-09-26,Dining,-109.19,Credit Card,Starbucks,Dining payment at Starbucks
txn_5266160,user_10,2024-05-10,Groceries,-483.58,Cash,Hospital,Groceries payment at Hospital
txn_9936044,user_9,2024-02-12,Salary,1913.25,Cash,Starbucks,Salary payment at Starbucks
txn_7282393,user_8,2023-12-03,Transport,-477.88,Cash,Netflix,Transport payment at Netflix
txn_4763544,user_4,2024-09-24,Bonus,2165.92,Debit Card,Hospital,Bonus payment at Hospital
txn_3205894,user_11,2023-07-30,Dining,-366.97,Transfer,Starbucks,Dining payment at Starbucks
txn_1327810,user_15,2023-09-04,Groceries,-286.9,Debit Card,School,Groceries payment at School
txn_2402000,user_20,2024-09-29,Salary,4934.63,Debit Card,Netflix,Salary payment at Netflix
txn_3587968,user_8,2023-12-09,Savings Transfer,-7.08,Debit Card,Local Grocery,Savings Transfer payment at Local Grocery
txn_7124523,user_6,2024-12-25,Savings Transfer,-229.71,Cash,Starbucks,Savings Transfer payment at Starbucks
txn_1082770,user_2,2024-01-28,Dining,-40.21,Credit Card,Netflix,Dining payment at Netflix
txn_4986677,user_15,2023-11-04,Entertainment,-29.82,Credit Card,Uber,Entertainment payment at Uber
txn_5291943,user_2,2024-08-30,Rent,-105.2,Debit Card,Starbucks,Rent payment at Starbucks
txn_4498981,user_13,2023-09-23,Rent,-85.87,Debit Card,Walmart,Rent payment at Walmart
txn_2645378,user_18,2023-05-12,Education,-444.71,Debit Card,Electric Company,Education payment at Electric Company
txn_9001848,user_9,2023-05-23,Dining,-173.4,Transfer,Starbucks,Dining payment at Starbucks
txn_8794208,user_19,2024-04-24,Utilities,-179.03,Cash,Amazon,Utilities payment at Amazon
txn_9694920,user_12,2023-06-22,Education,-169.64,Credit Card,Landlord,Education payment at Landlord
txn_9259222,user_10,2024-08-28,Bonus,4829.93,Transfer,Electric Company,Bonus payment at Electric Company
txn_4600174,user_17,2023-03-08,Transport,-269.39,Debit Card,Walmart,Transport payment at Walmart
txn_4932733,user_6,2024-08-17,Rent,-313.57,Transfer,Hospital,Rent payment at Hospital
txn_8232385,user_17,2024-01-02,Savings Transfer,-387.84,Transfer,Starbucks,Savings Transfer payment at Starbucks
txn_4289606,user_7,2024-03-23,Education,-212.29,Debit Card,Hospital,Education payment at Hospital
txn_5683310,user_16,2023-10-12,Entertainment,-201.77,Credit Card,School,Entertainment payment at School
txn_4912429,user_9,2024-10-01,Dining,-377.73,Cash,Local Grocery,Dining payment at Local Grocery
txn_9617740,user_6,2024-10-10,Healthcare,-263.03,Debit Card,Electric Company,Healthcare payment at Electric Company
txn_7078359,user_20,2024-02-10,Savings Transfer,-437.79,Credit Card,Local Grocery,Savings Transfer payment at Local Grocery
txn_2670024,user_3,2023-12-30,Healthcare,-42.66,Transfer,Local Grocery,Healthcare payment at Local Grocery
txn_1652159,user_14,2024-08-17,Savings Transfer,-135.63,Debit Card,Uber,Savings Transfer payment at Uber
txn_9624421,user_5,2023-04-05,Healthcare,-373.19,Transfer,Netflix,Healthcare payment at Netflix
txn_2323721,user_4,2024-09-02,Rent,-455.93,Credit Card,Starbucks,Rent payment at Starbucks
txn_7385246,user_12,2023-03-14,Dining,-342.11,Debit Card,Hospital,Dining payment at Hospital
txn_9510125,user_8,2024-08-22,Transport,-137.13,Transfer,Amazon,Transport payment at Amazon
txn_7999061,user_2,2024-04-25,Entertainment,-384.22,Cash,School,Entertainment payment at School
txn_5457244,user_19,2023-11-09,Transport,-104.43,Debit Card,Hospital,Transport payment at Hospital
txn_1415406,user_1,2024-10-06,Transport,-458.73,Cash,Amazon,Transport payment at Amazon
txn_4583997,user_18,2023-03-11,Interest,1008.09,Transfer,Walmart,Interest payment at Walmart
txn_7272118,user_17,2024-03-02,Education,-255.52,Debit Card,School,Education payment at School
txn_2806757,user_20,2024-11-22,Interest,4666.74,Debit Card,Walmart,Interest payment at Walmart
txn_8751668,user_18,2024-06-26,Rent,-341.36,Debit Card,Amazon,Rent payment at Amazon
txn_6835850,user_3,2023-05-21,Bonus,1831.72,Transfer,Uber,Bonus payment at Uber
txn_7263647,user_12,2023-06-22,Savings Transfer,-497.74,Transfer,Starbucks,Savings Transfer payment at Starbucks
txn_7019326,user_1,2023-08-05,Interest,3132.55,Cash,Electric Company,Interest payment at Electric Company
txn_1257649,user_9,2023-03-11,Utilities,-219.03,Credit Card,Amazon,Utilities payment at Amazon
txn_6537329,user_20,2024-09-09,Interest,3971.43,Cash,Walmart,Interest payment at Walmart
txn_7859160,user_11,2024-02-09,Groceries,-334.27,Transfer,Hospital,Groceries payment at Hospital
txn_2320498,user_4,2024-07-04,Savings Transfer,-374.94,Cash,Electric Company,Savings Transfer payment at Electric Company
txn_8367135,user_9,2024-02-24,Education,-219.23,Credit Card,Amazon,Education payment at Amazon
txn_6521648,user_7,2024-12-25,Groceries,-360.73,Debit Card,Local Grocery,Groceries payment at Local Grocery
txn_2421369,user_4,2024-08-20,Groceries,-351.11,Credit Card,School,Groceries payment at School
txn_5681240,user_7,2024-12-26,Education,-164.13,Transfer,Amazon,Education payment at Amazon
txn_6667624,user_20,2024-07-11,Rent,-440.9,Credit Card,Starbucks,Rent payment at Starbucks
txn_6676672,user_10,2023-04-22,Groceries,-423.03,Transfer,Netflix,Groceries payment at Netflix
txn_4672836,user_8,2023-10-22,Utilities,-170.14,Debit Card,Amazon,Utilities payment at Amazon
txn_9364014,user_13,2024-08-14,Education,-240.18,Credit Card,Walmart,Education payment at Walmart
txn_2508197,user_6,2024-08-03,Entertainment,-197.81,Debit Card,School,Entertainment payment at School
txn_8002567,user_18,2024-09-03,Salary,4488.29,Transfer,School,Salary payment at School
txn_6850569,user_13,2023-08-22,Interest,2298.66,Debit Card,School,Interest payment at School
txn_5871230,user_17,2023-09-11,Groceries,-346.19,Transfer,Amazon,Groceries payment at Amazon
txn_5912702,user_1,2024-05-29,Salary,4584.47,Cash,Hospital,Salary payment at Hospital
txn_1856554,user_1,2024-09-09,Transport,-385.83,Debit Card,Landlord,Transport payment at Landlord
txn_5305644,user_2,2023-03-01,Transport,-349.75,Credit Card,Landlord,Transport payment at Landlord
txn_2653824,user_6,2023-07-31,Interest,3482.53,Cash,Uber,Interest payment at Uber
txn_4105216,user_12,2024-10-26,Education,-190.18,Transfer,Starbucks,Education payment at Starbucks
txn_7860359,user_7,2023-05-09,Groceries,-493.23,Debit Card,School,Groceries payment at School
txn_9906054,user_10,2023-03-24,Entertainment,-105.06,Debit Card,Landlord,Entertainment payment at Landlord
txn_6526928,user_20,2023-03-13,Salary,2960.61,Debit Card,Netflix,Salary payment at Netflix
txn_8551618,user_2,2023-05-30,Utilities,-22.5,Credit Card,Amazon,Utilities payment at Amazon
txn_2136192,user_8,2024-03-18,Healthcare,-39.65,Transfer,Starbucks,Healthcare payment at Starbucks
txn_4435617,user_8,2023-07-04,Dining,-376.49,Cash,Landlord,Dining payment at Landlord
txn_6446436,user_20,2023-03-23,Entertainment,-143.29,Transfer,Electric Company,Entertainment payment at Electric Company
txn_8363098,user_9,2023-09-17,Healthcare,-259.18,Credit Card,School,Healthcare payment at School
txn_2635350,user_4,2024-04-11,Savings Transfer,-268.13,Credit Card,Walmart,Savings Transfer payment at Walmart
txn_4343412,user_5,2024-05-31,Groceries,-228.54,Transfer,School,Groceries payment at School
txn_9045352,user_1,2024-02-17,Groceries,-12.88,Debit Card,School,Groceries payment at School
txn_4055179,user_18,2023-05-28,Transport,-111.08,Debit Card,Landlord,Transport payment at Landlord
txn_6955132,user_14,2024-04-20,Transport,-40.45,Transfer,Landlord,Transport payment at Landlord
txn_6158987,user_12,2024-10-30,Rent,-103.97,Cash,Uber,Rent payment at Uber
txn_6509223,user_2,2024-04-19,Rent,-341.9,Transfer,School,Rent payment at School
txn_5928375,user_1,2024-11-14,Salary,4959.77,Transfer,Landlord,Salary payment at Landlord
txn_5589240,user_11,2023-09-17,Utilities,-291.27,Debit Card,Netflix,Utilities payment at Netflix
txn_4342546,user_5,2023-10-30,Salary,4017.1,Cash,Landlord,Salary payment at Landlord
txn_8110904,user_10,2023-08-25,Utilities,-50.51,Credit Card,Hospital,Utilities payment at Hospital
txn_2963068,user_17,2024-02-09,Dining,-263.28,Transfer,Walmart,Dining payment at Walmart
txn_1858286,user_3,2024-03-16,Healthcare,-265.2,Cash,Netflix,Healthcare payment at Netflix
txn_6819439,user_2,2023-12-12,Healthcare,-375.19,Credit Card,Local Grocery,Healthcare payment at Local Grocery
txn_3818339,user_19,2023-10-05,Utilities,-72.82,Cash,Amazon,Utilities payment at Amazon
txn_1342369,user_2,2023-05-14,Bonus,4330.31,Debit Card,Uber,Bonus payment at Uber
txn_4837296,user_12,2024-01-25,Education,-190.05,Credit Card,Starbucks,Education payment at Starbucks
txn_3514015,user_7,2024-10-02,Bonus,2156.3,Debit Card,Uber,Bonus payment at Uber
txn_1230313,user_11,2023-11-01,Rent,-215.49,Credit Card,Landlord,Rent payment at Landlord
txn_6385586,user_3,2024-05-12,Entertainment,-27.01,Transfer,Hospital,Entertainment payment at Hospital
txn_3819574,user_17,2023-05-14,Bonus,1245.86,Cash,Hospital,Bonus payment at Hospital
txn_5251915,user_10,2024-01-13,Savings Transfer,-467.04,Cash,Walmart,Savings Transfer payment at Walmart
txn_6744037,user_7,2024-09-20,Salary,3100.16,Credit Card,Uber,Salary payment at Uber
txn_5583858,user_14,2024-10-31,Entertainment,-20.56,Debit Card,Netflix,Entertainment payment at Netflix
